,Username,Last Name,First Name,Chamber,Party,State,District,Date Assumed Office,Gender,,,,,,
241,RepBost,Bost,Mike,House,Republican,Illinois,12,"January 3, 2015",M,,,,,,
242,RodneyDavis,Davis,Rodney,House,Republican,Illinois,13,"January 3, 2013",M,,,,,,
243,RepUnderwood,Underwood,Lauren,House,Democratic,Illinois,14,"January 3, 2019",F,,,,,,
244,RepMaryMiller,Miller,Mary,House,Republican,Illinois,15,"January 3, 2021",F,,,,,,
245,repkinzinger,Kinzinger,Adam,House,Republican,Illinois,16,"January 3, 2013",M,,,,,,
246,RepCheri,Bustos,Cheri,House,Democratic,Illinois,17,"January 3, 2013",F,,,,,,
247,RepLaHood,LaHood,Darin,House,Republican,Illinois,18,"September 17, 2015",M,,,,,,
248,RepMrvan,Mrvan,Frank,House,Democratic,Indiana,1,"January 3, 2021",M,,,,,,
249,RepWalorski,Walorski,Jackie,House,Republican,Indiana,2,"January 3, 2013",F,,,,,,
250,RepJimBanks,Banks,Jim,House,Republican,Indiana,3,"January 3, 2017",M,,,,,,
251,RepJimBaird,Baird,James,House,Republican,Indiana,4,"January 3, 2019",M,,,,,,
252,RepSpartz,Spartz,Victoria,House,Republican,Indiana,5,"January 3, 2021",F,,,,,,
253,RepGregPence,Pence,Greg,House,Republican,Indiana,6,"January 3, 2019",M,,,,,,
254,RepAndreCarson,Carson,André,House,Democratic,Indiana,7,"March 13, 2008",M,,,,,,
255,RepLarryBucshon,Bucshon,Larry,House,Republican,Indiana,8,"January 3, 2011",M,,,,,,
256,RepTrey,Hollingsworth,Trey,House,Republican,Indiana,9,"January 3, 2017",M,,,,,,
257,RepAshleyHinson,Hinson,Ashley,House,Republican,Iowa,1,"January 3, 2021",F,,,,,,
258,RepMMM,MillerMeeks,Mariannette,House,Republican,Iowa,2,"January 3, 2021",F,,,,,,
259,RepCindyAxne,Axne,Cindy,House,Democratic,Iowa,3,"January 3, 2019",F,,,,,,
260,RepFeenstra,Feenstra,Randy,House,Republican,Iowa,4,"January 3, 2021",M,,,,,,
261,RepMann,Mann,Tracey,House,Republican,Kansas,1,"January 3, 2021",M,,,,,,
262,RepLaTurner,LaTurner,Jacob,House,Republican,Kansas,2,"January 3, 2021",M,,,,,,
263,RepDavids,Davids,Sharice,House,Democratic,Kansas,3,"January 3, 2019",F,,,,,,
264,RepRonEstes,Estes,Ron,House,Republican,Kansas,4,"April 25, 2017",M,,,,,,
265,RepJamesComer,Comer,James,House,Republican,Kentucky,1,"November 14, 2016",M,,,,,,
266,RepGuthrie,Guthrie,Brett,House,Republican,Kentucky,2,"January 3, 2009",M,,,,,,
267,RepJohnYarmuth,Yarmuth,John,House,Democratic,Kentucky,3,"January 3, 2007",M,,,,,,
268,RepThomasMassie,Massie,Thomas,House,Republican,Kentucky,4,"November 13, 2012",M,,,,,,
269,RepHalRogers,Rogers,Hal,House,Republican,Kentucky,5,"January 3, 1981",M,,,,,,
270,RepAndyBarr,Barr,Andy,House,Republican,Kentucky,6,"January 3, 2013",M,,,,,,
271,SteveScalise,Scalise,Steve,House,Republican,Louisiana,1,"May 3, 2008",M,,,,,,
272,RepTroyCarter,Carter,Troy,House,Democratic,Louisiana,2,"May 11, 2021",M,,,,,,
